source_repo	source_path	artifact_type	publication_classification	current_url	current_nav_location	content_type	primary_audience	secondary_audiences	product_area	owner	last_meaningful_review	generated	public_today	duplicate_group	known_accuracy_risk	known_usability_risk	build_dependencies	links_in	links_out	notes
full-chaos/dev-health-ops	docs-prototype/contribute/architecture/index.md	prototype-page	prototype-wip			architecture			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/architecture/platform.md	prototype-page	prototype-wip			architecture			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/development/commands.md	prototype-page	prototype-wip			cli-reference			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/development/debugging.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/development/fixtures-and-live-validation.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/development/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/development/migrations.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/development/testing.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/documentation/classify-and-place.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/documentation/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/documentation/preview-and-validate.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/documentation/write-and-review.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/review-and-release/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/review-and-release/pull-requests.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/review-and-release/releases.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/start/development-environment.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/start/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/contribute/start/repository-map.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/get-started/choose-a-task.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
